marca,nome_cor,preco_painel,url_imagem
guararapes,MDF Marmo,320,https://images.prismic.io/guararapes/9e3e22fd-4dfd-4071-8b26-84d12736b50a_guararapes-produtos-marmo.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Freijó,320,https://images.prismic.io/guararapes/2da27337-8174-421f-aea3-bf77ebbeab15_guararapes-produtos-freijo.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Fendi,320,https://images.prismic.io/guararapes/5f32be92-d606-444a-ad40-2c0b6f0588bd_guararapes-produtos-fendi.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Azul Petróleo,320,https://images.prismic.io/guararapes/fca2d7a7-ac87-4097-af0e-f96e4aa73547_guararapes-produtos-azul-petroleo.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Tauari,320,https://images.prismic.io/guararapes/17790abf-f165-454f-b50d-b4e28069d927_guararapes-produtos-tauari.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Grafite,320,https://images.prismic.io/guararapes/392862c6-e396-49cf-b657-fb7d8d33bacf_guararapes-produtos-grafite.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Quartzo,320,https://images.prismic.io/guararapes/9be76ecc-fcfb-4982-bcbd-1c1b9e8166cd_guararapes-produtos-quartzo.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Maxi Branco,320,https://images.prismic.io/guararapes/1c9f39b4-e891-4b8e-9373-bcb2a2ddd761_guararapes-produtos-maxi-branco.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Floresta,320,https://images.prismic.io/guararapes/83967903-655c-46bb-8d76-fc83aa4191aa_Guararapes_Floresta_ChapaThumb-690x490px.png?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Branco Iceland,320,https://images.prismic.io/guararapes/091b7af4-8a1e-43b7-b215-a3cd6736e7e5_guararapes-produtos-branco-iceland.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Cosmos,320,https://images.prismic.io/guararapes/be139cd0-6ac4-4eb9-b589-266b9c16f87a_guararapes-produtos-cosmos.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
